Sequence,folioURN,Siglum,RV,name
963,urn:cite:fufolio:msCodBod25.182r,codbod25,recto,folio182r
964,urn:cite:fufolio:msCodBod25.182v,codbod25,verso,folio182v
965,urn:cite:fufolio:msCodBod25.183r,codbod25,recto,folio183r
966,urn:cite:fufolio:msCodBod25.183v,codbod25,verso,folio183v
967,urn:cite:fufolio:msCodBod25.184r,codbod25,recto,folio184r
968,urn:cite:fufolio:msCodBod25.184v,codbod25,verso,folio184v
969,urn:cite:fufolio:msCodBod25.185r,codbod25,recto,folio185r
970,urn:cite:fufolio:msCodBod25.185v,codbod25,verso,folio185v
971,urn:cite:fufolio:msCodBod25.186r,codbod25,recto,folio186r
972,urn:cite:fufolio:msCodBod25.186v,codbod25,verso,folio186v
973,urn:cite:fufolio:msCodBod25.187r,codbod25,recto,folio187r
974,urn:cite:fufolio:msCodBod25.187v,codbod25,verso,folio187v
975,urn:cite:fufolio:msCodBod25.188r,codbod25,recto,folio188r
976,urn:cite:fufolio:msCodBod25.188v,codbod25,verso,folio188v
977,urn:cite:fufolio:msCodBod25.189r,codbod25,recto,folio189r
978,urn:cite:fufolio:msCodBod25.189v,codbod25,verso,folio189v
979,urn:cite:fufolio:msCodBod25.190r,codbod25,recto,folio190r
980,urn:cite:fufolio:msCodBod25.190v,codbod25,verso,folio190v
981,urn:cite:fufolio:msCodBod25.191r,codbod25,recto,folio191r
982,urn:cite:fufolio:msCodBod25.191v,codbod25,verso,folio191v
983,urn:cite:fufolio:msCodBod25.192r,codbod25,recto,folio192r
984,urn:cite:fufolio:msCodBod25.192v,codbod25,verso,folio192v
985,urn:cite:fufolio:msCodBod25.193r,codbod25,recto,folio193r
986,urn:cite:fufolio:msCodBod25.193v,codbod25,verso,folio193v
