urn,imgurn,textreading,comments,texturn
urn:cite:openpal:fuCB25op.10043,urn:cite:ecod:codbod25.cb-0025_056r@0.2866,0.2344,0.0281,0.015,α,alpha,
urn:cite:openpal:fuCB25op.10044,urn:cite:ecod:codbod25.cb-0025_056r@0.3156,0.2344,0.021,0.015,τ,tau,
urn:cite:openpal:fuCB25op.10045,urn:cite:ecod:codbod25.cb-0025_056r@0.3317,0.2337,0.021,0.015,ο,omicron,
urn:cite:openpal:fuCB25op.10046,urn:cite:ecod:codbod25.cb-0025_056r@0.3447,0.2329,0.021,0.015,υ,upsilon,
urn:cite:openpal:fuCB25op.10047,urn:cite:ecod:codbod25.cb-0025_056r@0.3657,0.2322,0.0271,0.015,π,pi,
urn:cite:openpal:fuCB25op.10048,urn:cite:ecod:codbod25.cb-0025_056r@0.3858,0.2322,0.018,0.015,ρ,rho,
urn:cite:openpal:fuCB25op.10049,urn:cite:ecod:codbod25.cb-0025_056r@0.4028,0.2322,0.02,0.015,σ,sigma,
urn:cite:openpal:fuCB25op.10050,urn:cite:ecod:codbod25.cb-0025_056r@0.4369,0.2314,0.02,0.015,κ,kappa,
urn:cite:openpal:fuCB25op.10051,urn:cite:ecod:codbod25.cb-0025_056r@0.4599,0.2307,0.02,0.015,α,alpha,
urn:cite:openpal:fuCB25op.10052,urn:cite:ecod:codbod25.cb-0025_056r@0.4699,0.2322,0.02,0.015,ι,iota,
urn:cite:openpal:fuCB25op.10053,urn:cite:ecod:codbod25.cb-0025_056r@0.487,0.2322,0.02,0.015,τ,tau,
urn:cite:openpal:fuCB25op.10054,urn:cite:ecod:codbod25.cb-0025_056r@0.498,0.2322,0.02,0.015,ο,omicron,
urn:cite:openpal:fuCB25op.10055,urn:cite:ecod:codbod25.cb-0025_056r@0.514,0.2314,0.02,0.015,υ,upsilon,
urn:cite:openpal:fuCB25op.10056,urn:cite:ecod:codbod25.cb-0025_056r@0.3267,0.2569,0.02,0.015,υι,upsilon+iota ligature,
urn:cite:openpal:fuCB25op.10057,urn:cite:ecod:codbod25.cb-0025_056r@0.3487,0.2547,0.02,0.015,ο,omicron,
urn:cite:openpal:fuCB25op.10058,urn:cite:ecod:codbod25.cb-0025_056r@0.3667,0.2532,0.023,0.015,υ,upsilon,
urn:cite:openpal:fuCB25op.10059,urn:cite:ecod:codbod25.cb-0025_056r@0.3216,0.2757,0.023,0.015,κ,kappa,
urn:cite:openpal:fuCB25op.10060,urn:cite:ecod:codbod25.cb-0025_056r@0.3367,0.2772,0.017,0.015,α,alpha,
urn:cite:openpal:fuCB25op.10061,urn:cite:ecod:codbod25.cb-0025_056r@0.3477,0.2772,0.017,0.015,ι,iota,
urn:cite:openpal:fuCB25op.10062,urn:cite:ecod:codbod25.cb-0025_056r@0.3577,0.2772,0.017,0.015,τ,tau,
urn:cite:openpal:fuCB25op.10063,urn:cite:ecod:codbod25.cb-0025_056r@0.3687,0.2772,0.017,0.015,ο,omicron,
urn:cite:openpal:fuCB25op.10064,urn:cite:ecod:codbod25.cb-0025_056r@0.3828,0.2757,0.017,0.015,υ,upsilon,
urn:cite:openpal:fuCB25op.10065,urn:cite:ecod:codbod25.cb-0025_056r@0.3216,0.299,0.0431,0.0158,αγι,alpha+gamma+iota ligature,
urn:cite:openpal:fuCB25op.10066,urn:cite:ecod:codbod25.cb-0025_056r@0.3607,0.296,0.015,0.015,ο,omicron,
urn:cite:openpal:fuCB25op.10067,urn:cite:ecod:codbod25.cb-0025_056r@0.3758,0.2968,0.02,0.0135,υ,upsilon,
urn:cite:openpal:fuCB25op.10068,urn:cite:ecod:codbod25.cb-0025_056r@0.3246,0.3201,0.0301,0.0135,π,pi,
urn:cite:openpal:fuCB25op.10069,urn:cite:ecod:codbod25.cb-0025_056r@0.3517,0.3193,0.018,0.0165,ν,nu,
urn:cite:openpal:fuCB25op.10070,urn:cite:ecod:codbod25.cb-0025_056r@0.3727,0.3163,0.0261,0.0165,σ,sigma,
urn:cite:openpal:fuCB25op.10071,urn:cite:ecod:codbod25.cb-0025_056r@0.1994,0.3343,0.019,0.0278,δ,delta,
urn:cite:openpal:fuCB25op.10072,urn:cite:ecod:codbod25.cb-0025_056r@0.2144,0.3449,0.015,0.0143,ι,iota,
urn:cite:openpal:fuCB25op.10073,urn:cite:ecod:codbod25.cb-0025_056r@0.2285,0.3336,0.0251,0.0278,δ,delta,
urn:cite:openpal:fuCB25op.10074,urn:cite:ecod:codbod25.cb-0025_056r@0.2515,0.3456,0.0271,0.012,α,alpha,
urn:cite:openpal:fuCB25op.10075,urn:cite:ecod:codbod25.cb-0025_056r@0.2745,0.3441,0.024,0.0113,σ,sigma,
urn:cite:openpal:fuCB25op.10076,urn:cite:ecod:codbod25.cb-0025_056r@0.2876,0.3351,0.0251,0.0203,κ,kappa,
urn:cite:openpal:fuCB25op.10077,urn:cite:ecod:codbod25.cb-0025_056r@0.3136,0.3426,0.012,0.0113,ο,omicron,
urn:cite:openpal:fuCB25op.10078,urn:cite:ecod:codbod25.cb-0025_056r@0.3236,0.3403,0.02,0.0203,ν,nu,
urn:cite:openpal:fuCB25op.10079,urn:cite:ecod:codbod25.cb-0025_056r@0.3427,0.3434,0.018,0.0128,τ,tau,
urn:cite:openpal:fuCB25op.10080,urn:cite:ecod:codbod25.cb-0025_056r@0.3577,0.3366,0.0351,0.0203,εσ,epsilon+sigma ligature,
urn:cite:openpal:fuCB25op.10081,urn:cite:ecod:codbod25.cb-0025_056r@0.3978,0.3434,0.018,0.0128,α,alpha,
urn:cite:openpal:fuCB25op.10082,urn:cite:ecod:codbod25.cb-0025_056r@0.4128,0.3411,0.018,0.0135,υ,upsilon,
urn:cite:openpal:fuCB25op.10083,urn:cite:ecod:codbod25.cb-0025_056r@0.4248,0.3411,0.018,0.0135,ο,omicron,
urn:cite:openpal:fuCB25op.10084,urn:cite:ecod:codbod25.cb-0025_056r@0.4549,0.3396,0.018,0.0135,υ,upsilon,
urn:cite:openpal:fuCB25op.10085,urn:cite:ecod:codbod25.cb-0025_056r@0.4549,0.3396,0.018,0.0135,σ,sigma,
urn:cite:openpal:fuCB25op.10086,urn:cite:ecod:codbod25.cb-0025_056r@0.5,0.3403,0.02,0.0135,τ,tau,
urn:cite:openpal:fuCB25op.10087,urn:cite:ecod:codbod25.cb-0025_056r@0.516,0.3253,0.0311,0.0263,η,eta,
urn:cite:openpal:fuCB25op.10088,urn:cite:ecod:codbod25.cb-0025_056r@0.1984,0.3674,0.021,0.021,ρ,rho,
urn:cite:openpal:fuCB25op.10089,urn:cite:ecod:codbod25.cb-0025_056r@0.2144,0.3636,0.021,0.021,ει,epsilon+iota ligature,
urn:cite:openpal:fuCB25op.10090,urn:cite:ecod:codbod25.cb-0025_056r@0.2315,0.3644,0.021,0.021,ν,nu,
urn:cite:openpal:fuCB25op.10091,urn:cite:ecod:codbod25.cb-0025_056r@0.2625,0.3644,0.0361,0.0165,π,pi,
urn:cite:openpal:fuCB25op.10092,urn:cite:ecod:codbod25.cb-0025_056r@0.2926,0.3636,0.02,0.0165,α,alpha,
urn:cite:openpal:fuCB25op.10093,urn:cite:ecod:codbod25.cb-0025_056r@0.3076,0.3674,0.02,0.0165,ν,nu,
urn:cite:openpal:fuCB25op.10094,urn:cite:ecod:codbod25.cb-0025_056r@0.3277,0.3644,0.015,0.0165,τ,tau,
urn:cite:openpal:fuCB25op.10095,urn:cite:ecod:codbod25.cb-0025_056r@0.3367,0.3651,0.0331,0.0165,α,alpha,
urn:cite:openpal:fuCB25op.10096,urn:cite:ecod:codbod25.cb-0025_056r@0.3667,0.3659,0.021,0.012,ο,omicron,
urn:cite:openpal:fuCB25op.10097,urn:cite:ecod:codbod25.cb-0025_056r@0.3858,0.3614,0.019,0.0165,σ,sigma,
urn:cite:openpal:fuCB25op.10098,urn:cite:ecod:codbod25.cb-0025_056r@0.4038,0.3629,0.0281,0.0143,α,alpha,
urn:cite:openpal:fuCB25op.10099,urn:cite:ecod:codbod25.cb-0025_056r@0.4359,0.3554,0.019,0.0188,ε,epsilon,
urn:cite:openpal:fuCB25op.10100,urn:cite:ecod:codbod25.cb-0025_056r@0.4509,0.3636,0.016,0.0158,ν,nu,
urn:cite:openpal:fuCB25op.10101,urn:cite:ecod:codbod25.cb-0025_056r@0.4649,0.3554,0.0261,0.0195,ε,epsilon,
urn:cite:openpal:fuCB25op.10102,urn:cite:ecod:codbod25.cb-0025_056r@0.497,0.3599,0.019,0.0173,τ,tau,
urn:cite:openpal:fuCB25op.10103,urn:cite:ecod:codbod25.cb-0025_056r@0.515,0.3584,0.019,0.0173,ε,epsilon,
urn:cite:openpal:fuCB25op.10104,urn:cite:ecod:codbod25.cb-0025_056r@0.5301,0.3614,0.021,0.012,ι,iota,
urn:cite:openpal:fuCB25op.10105,urn:cite:ecod:codbod25.cb-0025_056r@0.1964,0.3862,0.0281,0.024,λ,lambda,
urn:cite:openpal:fuCB25op.10106,urn:cite:ecod:codbod25.cb-0025_056r@0.2244,0.3854,0.02,0.0218,α,alpha,
urn:cite:openpal:fuCB25op.10107,urn:cite:ecod:codbod25.cb-0025_056r@0.2405,0.3899,0.02,0.0218,μ,mu,
urn:cite:openpal:fuCB25op.10108,urn:cite:ecod:codbod25.cb-0025_056r@0.2545,0.3817,0.02,0.0218,η,eta,
urn:cite:openpal:fuCB25op.10109,urn:cite:ecod:codbod25.cb-0025_056r@0.2705,0.3877,0.02,0.0218,ν,nu,
urn:cite:openpal:fuCB25op.10110,urn:cite:ecod:codbod25.cb-0025_056r@0.2956,0.3892,0.0411,0.0165,υ,upsilon,
urn:cite:openpal:fuCB25op.10111,,,,
urn:cite:openpal:fuCB25op.10112,,,,
urn:cite:openpal:fuCB25op.10113,,,,
urn:cite:openpal:fuCB25op.10114,,,,
urn:cite:openpal:fuCB25op.10115,,,,
urn:cite:openpal:fuCB25op.10116,,,,
urn:cite:openpal:fuCB25op.10117,,,,
urn:cite:openpal:fuCB25op.10118,,,,
urn:cite:openpal:fuCB25op.10119,,,,
urn:cite:openpal:fuCB25op.10120,,,,
urn:cite:openpal:fuCB25op.10121,,,,
urn:cite:openpal:fuCB25op.10122,,,,
urn:cite:openpal:fuCB25op.10123,,,,
urn:cite:openpal:fuCB25op.10124,,,,
urn:cite:openpal:fuCB25op.10125,,,,
urn:cite:openpal:fuCB25op.10126,,,,
urn:cite:openpal:fuCB25op.10127,,,,
urn:cite:openpal:fuCB25op.10128,,,,
urn:cite:openpal:fuCB25op.10129,,,,
urn:cite:openpal:fuCB25op.10130,,,,
urn:cite:openpal:fuCB25op.10131,,,,
